id,tool,status,reason,cmd,expected_exit,actual_exit,expected_stdout,actual_stdout,stderr
1,icgrep,PASS,normal mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never foo /Users/arshmann/CMPT473/parabix-devel/project/data/no_match.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\ufffd\x19k\x01: No such file or directory\n"
2,icgrep,PASS,normal mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never foo /Users/arshmann/CMPT473/parabix-devel/project/data/one_match.txt,0,0,foo\n,foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\x1c\ufffdm\x01: No such file or directory\n"
3,icgrep,PASS,count mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -c foo /Users/arshmann/CMPT473/parabix-devel/project/data/many_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\ufffdEk\x01: No such file or directory\n"
4,icgrep,PASS,line-number mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -v -n -f /var/folders/dt/z0vrhgfs6fl44cmzqrhxwfwr0000gn/T/acts_regex__h1figo9.txt /Users/arshmann/CMPT473/parabix-devel/project/data/one_match.txt,0,0,2:bar\n3:baz\n,2:bar\n3:baz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""\ufffd[\ufffdk\x01: No such file or directory\n"
5,icgrep,PASS,normal mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never  /Users/arshmann/CMPT473/parabix-devel/project/data/empty.txt,0,0,\n,\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\x1c\ufffdl\x01: No such file or directory\n"
6,icgrep,PASS,normal mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -f /var/folders/dt/z0vrhgfs6fl44cmzqrhxwfwr0000gn/T/acts_regex_v_jp5de4.txt /Users/arshmann/CMPT473/parabix-devel/project/data/many_match.txt,0,0,foo\nxfoo\nfoo\n,foo\nxfoo\nfoo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""\ufffdro\x01: No such file or directory\n"
7,icgrep,PASS,invalid regex should return error,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never ( /Users/arshmann/CMPT473/parabix-devel/project/data/one_match.txt,2,2,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""H\u072bo\x01: No such file or directory\nicgrep ERROR: Expecting ) but end of input encountered\n"
8,icgrep,FAIL,missing input path should return error,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -f /var/folders/dt/z0vrhgfs6fl44cmzqrhxwfwr0000gn/T/acts_regex_oiuu3el9.txt /Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt,2,1,,"icgrep: ""/Users/arshmann/CMPT473/parabix-devel/project/data/this_path_should_not_exist.txt"": No such file.\n","failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""\ufffd\x1b\ufffdk\x01: No such file or directory\n"
9,icgrep,PASS,line-number mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -i -n [f]oo /Users/arshmann/CMPT473/parabix-devel/project/data/many_match.txt,0,0,1:foo\n2:xfoo\n3:FOO\n4:foo\n,1:foo\n2:xfoo\n3:FOO\n4:foo\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\ufffd\ufffdm\x01: No such file or directory\n"
10,icgrep,PASS,count mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -c -v -f /var/folders/dt/z0vrhgfs6fl44cmzqrhxwfwr0000gn/T/acts_regex_l60_pogx.txt /Users/arshmann/CMPT473/parabix-devel/project/data/no_match.txt,0,0,3\n,3\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""\ufffd\u06c7m\x01: No such file or directory\n"
11,icgrep,PASS,normal mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -v -i foo /Users/arshmann/CMPT473/parabix-devel/project/data/one_match.txt,0,0,bar\nbaz\n,bar\nbaz\n,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""(\x1c\ufffdo\x01: No such file or directory\n"
12,icgrep,PASS,normal mode,/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/icgrep -colors=never -f /var/folders/dt/z0vrhgfs6fl44cmzqrhxwfwr0000gn/T/acts_regex_5pfyizw0.txt /Users/arshmann/CMPT473/parabix-devel/project/data/empty.txt,1,1,,,"failed to exec cache cleanup deamon ""/Users/arshmann/CMPT473/parabix-devel/build-asan/bin/cachejanitord""\ufffd\ufffd\ufffdo\x01: No such file or directory\n"
